timestamp,datetime,open,high,low,close,volume
1703252100,2023-12-22T08:35:00.000-05:00,30.73,30.73,30.73,30.73,100
1703252640,2023-12-22T08:44:00.000-05:00,30.8,30.81,30.8,30.81,280
1703254020,2023-12-22T09:07:00.000-05:00,30.8,30.8,30.8,30.8,207
1703254080,2023-12-22T09:08:00.000-05:00,30.8,30.8,30.8,30.8,207
1703254500,2023-12-22T09:15:00.000-05:00,30.79,30.8,30.79,30.8,335
1703255400,2023-12-22T09:30:00.000-05:00,30.89,30.9,30.8,30.8,17519
1703255460,2023-12-22T09:31:00.000-05:00,30.78,30.78,30.78,30.78,1038
1703255520,2023-12-22T09:32:00.000-05:00,30.83,30.83,30.83,30.83,205
1703255580,2023-12-22T09:33:00.000-05:00,30.83,30.83,30.8,30.8,684
1703255640,2023-12-22T09:34:00.000-05:00,30.84,30.87,30.84,30.87,551
1703255700,2023-12-22T09:35:00.000-05:00,30.855,30.88,30.8,30.82,3153
1703255760,2023-12-22T09:36:00.000-05:00,30.85,30.87,30.85,30.87,2136
1703255820,2023-12-22T09:37:00.000-05:00,30.89,30.89,30.84,30.84,850
1703255880,2023-12-22T09:38:00.000-05:00,30.83,30.87,30.83,30.83,6922
1703255940,2023-12-22T09:39:00.000-05:00,30.82,30.83,30.82,30.83,1892
1703256000,2023-12-22T09:40:00.000-05:00,30.81,30.82,30.81,30.82,814
1703256060,2023-12-22T09:41:00.000-05:00,30.8485,30.8485,30.8485,30.8485,536
1703256120,2023-12-22T09:42:00.000-05:00,30.86,30.8711,30.86,30.865,661
1703256180,2023-12-22T09:43:00.000-05:00,30.86,30.87,30.855,30.855,1065
1703256240,2023-12-22T09:44:00.000-05:00,30.86,30.89,30.86,30.89,2438
1703256300,2023-12-22T09:45:00.000-05:00,30.8919,30.8919,30.85,30.85,2191
1703256360,2023-12-22T09:46:00.000-05:00,30.855,30.869,30.855,30.86,702
1703256420,2023-12-22T09:47:00.000-05:00,30.86,30.89,30.85,30.87,4496
1703256480,2023-12-22T09:48:00.000-05:00,30.88,30.88,30.87,30.87,601
1703256540,2023-12-22T09:49:00.000-05:00,30.8743,30.8743,30.85,30.85,2113
1703256600,2023-12-22T09:50:00.000-05:00,30.83,30.8449,30.83,30.83,2391
1703256660,2023-12-22T09:51:00.000-05:00,30.83,30.84,30.82,30.84,3159
1703256720,2023-12-22T09:52:00.000-05:00,30.83,30.83,30.82,30.83,2644
1703256780,2023-12-22T09:53:00.000-05:00,30.83,30.84,30.82,30.84,1720
1703256840,2023-12-22T09:54:00.000-05:00,30.85,30.855,30.84,30.85,1576
1703256900,2023-12-22T09:55:00.000-05:00,30.85,30.8509,30.85,30.8509,615
1703256960,2023-12-22T09:56:00.000-05:00,30.85,30.85,30.84,30.84,845
1703257020,2023-12-22T09:57:00.000-05:00,30.845,30.845,30.825,30.825,2319
1703257080,2023-12-22T09:58:00.000-05:00,30.8,30.8,30.8,30.8,237
1703257140,2023-12-22T09:59:00.000-05:00,30.8,30.8,30.8,30.8,232
1703257200,2023-12-22T10:00:00.000-05:00,30.795,30.795,30.795,30.795,645
1703257260,2023-12-22T10:01:00.000-05:00,30.79,30.79,30.7705,30.7705,2411
1703257320,2023-12-22T10:02:00.000-05:00,30.79,30.79,30.74,30.74,2496
1703257380,2023-12-22T10:03:00.000-05:00,30.74,30.77,30.73,30.77,4005
1703257500,2023-12-22T10:05:00.000-05:00,30.765,30.765,30.765,30.765,243
1703257560,2023-12-22T10:06:00.000-05:00,30.76,30.76,30.745,30.745,633
1703257620,2023-12-22T10:07:00.000-05:00,30.745,30.745,30.73,30.73,1513
1703257680,2023-12-22T10:08:00.000-05:00,30.725,30.745,30.715,30.745,2107
1703257740,2023-12-22T10:09:00.000-05:00,30.74,30.74,30.74,30.74,2383
1703257800,2023-12-22T10:10:00.000-05:00,30.73,30.765,30.73,30.765,2374
1703257860,2023-12-22T10:11:00.000-05:00,30.77,30.78,30.77,30.78,383
1703257920,2023-12-22T10:12:00.000-05:00,30.785,30.785,30.785,30.785,507
1703257980,2023-12-22T10:13:00.000-05:00,30.785,30.785,30.74,30.75,3152
1703258040,2023-12-22T10:14:00.000-05:00,30.745,30.75,30.74,30.74,1076
1703258100,2023-12-22T10:15:00.000-05:00,30.72,30.72,30.71,30.71,3842
1703258160,2023-12-22T10:16:00.000-05:00,30.71,30.725,30.7,30.71,8490
